timestamp,disease,stress_level,confidence,soil_moisture,temperature_c,stress_score
2026-03-13 20:15:14, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:15:27, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:15:29, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:15:34, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:18:58, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:23:12, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,22,25,1
2026-03-13 20:23:29, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,22,25,1
2026-03-13 20:23:37, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,22,25,1
2026-03-13 20:29:07, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:38:07, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:38:59, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:44:43, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:46:47, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:50:41, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:52:54, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:53:05, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,83,25,1
2026-03-13 20:53:09, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,83,25,1
2026-03-13 21:17:50, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:14, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:22, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:32, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:33, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:43, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:43, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:46, healthy,🟢 NO STRESS,0.9998,50,25,0
2026-03-13 21:19:32, healthy,🟢 NO STRESS,0.9998,50,25,0
2026-03-13 21:19:32, healthy,🟢 NO STRESS,0.9998,50,25,0
2026-03-13 21:19:34, Black rot,🔴 HIGH SEVERE STRESS,0.9991,50,25,0
2026-03-13 21:20:08, Black rot,🔴 HIGH SEVERE STRESS,0.9991,18,25,1
2026-03-13 21:20:12, Black rot,🔴 HIGH SEVERE STRESS,0.9991,18,34,1
2026-03-14 14:14:45, Black rot,🔴 HIGH SEVERE STRESS,0.9991,50,25,0
2026-03-14 23:05:44, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-14 23:26:58, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-14 23:28:15, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-14 23:28:18, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-14 23:36:08, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-14 23:46:47, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-15 19:40:08, Tomato Yellow Leaf Curl Virus,🟠 LOW MODERATE STRESS,0.222,50,25,0
2026-03-15 19:45:56, healthy,🟢 NO STRESS,0.7076,50,25,0
2026-03-15 20:25:06, healthy,🟢 NO STRESS,0.7076,50,25,0
2026-03-15 20:25:34, healthy,🟢 NO STRESS,0.7076,50,25,0
2026-03-15 20:54:44, Black rot,🔴 HIGH SEVERE STRESS,1.0,50,25,0
2026-03-15 20:55:04, Black rot,🔴 HIGH SEVERE STRESS,1.0,50,25,0
2026-03-15 20:55:04, Black rot,🔴 HIGH SEVERE STRESS,1.0,50,25,0
2026-03-15 20:55:07, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-15 20:55:15, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-15 20:55:24, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-15 21:01:11, healthy,🟢 NO STRESS,0.4636,50,25,0
2026-03-15 21:01:32, healthy,🟢 NO STRESS,0.4636,50,25,0
2026-03-15 21:25:41, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-15 21:28:23, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-15 21:28:36, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-15 21:28:37, Cedar apple rust,🔴 HIGH SEVERE STRESS,0.9064,50,25,0
2026-03-15 21:28:39, healthy,🟢 NO STRESS,0.4636,50,25,0
2026-03-15 21:28:54, healthy,🟢 NO STRESS,0.4636,50,25,0
2026-03-15 21:28:58, healthy,🟢 NO STRESS,0.4265,50,25,0
2026-03-15 21:29:14, healthy,🟢 NO STRESS,0.4265,50,25,0
2026-03-15 21:29:17, Cercospora leaf spot Gray leaf spot,🟠 MODERATE MODERATE STRESS,0.8682,50,25,0
2026-03-15 21:29:29, Cercospora leaf spot Gray leaf spot,🟠 MODERATE MODERATE STRESS,0.8682,50,25,0
2026-03-15 21:29:34, healthy,🟢 NO STRESS,0.9979,50,25,0
2026-03-15 21:29:57, healthy,🟢 NO STRESS,0.9979,50,25,0
2026-03-15 21:29:59, Tomato Yellow Leaf Curl Virus,🟠 LOW MODERATE STRESS,0.222,50,25,0
2026-03-15 21:30:30, Tomato Yellow Leaf Curl Virus,🟠 LOW MODERATE STRESS,0.222,50,25,0
2026-03-15 21:30:37, healthy,🟢 NO STRESS,0.9149,50,25,0
2026-03-15 22:01:39, Bacterial spot,🟠 HIGH MODERATE STRESS,0.944,50,25,0
2026-03-15 22:02:02, Bacterial spot,🟠 HIGH MODERATE STRESS,0.944,50,25,0
2026-03-15 22:02:03, Bacterial spot,🟠 HIGH MODERATE STRESS,0.944,50,25,0
2026-03-15 22:02:05, healthy,🟢 NO STRESS,0.9979,50,25,0
2026-03-15 22:02:28, healthy,🟢 NO STRESS,0.9979,50,25,0
2026-03-15 22:02:29, healthy,🟢 NO STRESS,0.9979,50,25,0
2026-03-15 22:02:33, Cercospora leaf spot Gray leaf spot,🟠 MODERATE MODERATE STRESS,0.8682,50,25,0
2026-03-15 22:02:48, Cercospora leaf spot Gray leaf spot,🟠 MODERATE MODERATE STRESS,0.8682,50,25,0
2026-03-15 22:02:48, Cercospora leaf spot Gray leaf spot,🟠 MODERATE MODERATE STRESS,0.8682,50,25,0
2026-03-15 22:02:54, healthy,🟢 NO STRESS,0.4265,50,25,0
2026-03-15 22:03:04, healthy,🟢 NO STRESS,0.4265,50,25,0
2026-03-15 22:03:09, Tomato Yellow Leaf Curl Virus,🟠 LOW MODERATE STRESS,0.222,50,25,0
2026-03-15 22:03:36, Tomato Yellow Leaf Curl Virus,🟠 LOW MODERATE STRESS,0.222,50,25,0
2026-03-15 22:03:40, healthy,🟢 NO STRESS,0.7076,50,25,0
